project id,name,url,category,subcategory,location,status,goal,pledged,funded percentage,backers,funded date,levels,reward levels,updates,comments,duration
1251688,Humerus - Independent Film,http://www.kickstarter.com/projects/satmary/humerus-independent-film,Film & Video,Short Film,"Los Angeles, CA",live,2000,110,0.055,2,"Sun, 01 Jul 2012 03:00:00 -0000",10,"$1,$5,$10,$25,$50,$100,$250,$500,$750,$1,250",1,1,30.3
1253029,Release Sxip Shirey's SONIC NEW YORK,http://www.kickstarter.com/projects/sxipshirey/release-sxip-shireys-sonic-new-york-15-punk-r,Music,Music,"New York, NY",successful,5000,6860,1.372,110,"Thu, 26 Nov 2009 18:38:00 -0000",14,"$16,$20,$40,$45,$65,$100,$200,$400,$1,000,$1,200,$2,000,$3,000,$4,000,$5,000",28,9,88.19
1349658,RISUS Free Adventure Project 2012,http://www.kickstarter.com/projects/sjohnross/risus-free-adventure-project-2012,Games,Games,"Denver, CO",successful,500,5536,11.07174,181,"Mon, 02 Apr 2012 03:59:00 -0000",15,"$1,$5,$10,$25,$50,$75,$95,$100,$150,$200,$250,$500,$1,000,$2,500,$5,000",36,36,25.94
1352667,Musical Note Dice,http://www.kickstarter.com/projects/1062097493/musical-note-dice,Games,Games,"Eugene, OR",failed,600,192,0.320216667,14,"Mon, 03 Oct 2011 18:20:52 -0000",6,"$1,$6,$12,$60,$120,$600",0,0,60
1380209,Crossroads [San Francisco Cinematheque],http://www.kickstarter.com/projects/1009133526/crossroads-san-francisco-cinematheque,Film & Video,Film &amp; Video,"San Francisco, CA",successful,7000,7030,1.004285714,41,"Mon, 11 Oct 2010 06:59:00 -0000",6,"$25,$50,$100,$125,$250,$500",0,0,37.34
1397716,&quot;Misfits of Love&quot; a book of art and story from Apifera Farm,http://www.kickstarter.com/projects/katherinedunn/misfits-of-love-a-book-of-art-and-story-from-apife,Publishing,Art Book,"Portland, OR",successful,8750,8805,1.006285714,139,"Tue, 31 Jan 2012 00:16:42 -0000",12,"$15,$25,$75,$100,$150,$200,$250,$495,$500,$850,$1,000,$2,000",12,12,60
1497280,Help DRC create FuturePatrons!,http://www.kickstarter.com/projects/122766416/help-drc-create-futurepatrons,Theater,Theater,"Portland, ME",successful,1500,1505,1.003333333,28,"Tue, 31 Jan 2012 20:00:00 -0000",5,"$15,$30,$90,$150,$1,000",1,0,42.96
1505845,Homeless Cop,http://www.kickstarter.com/projects/doejo/homeless-cop,Film & Video,Animation,"Chicago, IL",failed,30000,6596,0.219866667,92,"Thu, 22 Sep 2011 00:05:37 -0000",11,"$5,$10,$20,$50,$100,$250,$500,$750,$1,500,$3,000,$5,000",4,5,60
1512678,Eyes and Ears on English - comedy/English education show,http://www.kickstarter.com/projects/1787808582/eyes-and-ears-on-english-comedy-english-education-0,Film & Video,Film &amp; Video,"Taipei, Taiwan",failed,12000,1502,0.125166667,9,"Sun, 22 May 2011 05:15:04 -0000",1,$10,1,0,45
1544188,&quot;Rainy Day&quot; a sci fi drama feature film,http://www.kickstarter.com/projects/claudiakatz/rainy-day-a-sci-fi-drama-feature-film,Film & Video,Film &amp; Video,"Los Angeles, CA",failed,15000,1,6.67E-05,1,"Mon, 04 Jul 2011 22:09:40 -0000",1,$25,1,0,60
1615245,In need of professional editing of my first novel.,http://www.kickstarter.com/projects/georgekramer/in-need-of-professional-editing-of-my-first-novel,Publishing,Fiction,"Indianapolis, IN",failed,2000,135,0.0675,5,"Thu, 22 Jul 2010 03:59:00 -0000",4,"$20,$35,$100,$500",0,0,46.23
1664088,Acoustic Soul EP,http://www.kickstarter.com/projects/1959483637/acoustic-soul-ep,Music,Music,"Nashville, TN",failed,7000,600,0.085714286,2,"Sun, 11 Dec 2011 23:03:08 -0000",8,"$5,$10,$25,$50,$100,$500,$1,000,$2,500",0,0,30
1708305,Yarn's New Record!,http://www.kickstarter.com/projects/1121368060/yarns-new-record,Music,Country & Folk,"Brooklyn, NY",successful,15000,20716,1.381066667,199,"Fri, 30 Dec 2011 21:21:04 -0000",14,"$5,$10,$25,$50,$60,$100,$150,$300,$500,$800,$1,500,$2,000,$3,000,$5,000",1,28,60.04
1745035,SIRIUS,http://www.kickstarter.com/projects/261360616/sirius,Film & Video,Documentary,"Los Angeles, CA",live,43500,23499,0.540201149,320,"Tue, 26 Jun 2012 19:28:49 -0000",10,"$5,$11,$35,$70,$100,$250,$500,$1,500,$6,500,$10,000",2,30,60
1776870,The BulletProof Ghost Issue #1,http://www.kickstarter.com/projects/thebulletproofghost/the-bulletproof-ghost-issue-1,Comics,Comics,"Evansville, IN",failed,4000,986,0.2465,24,"Wed, 25 Apr 2012 16:16:29 -0000",11,"$1,$5,$15,$30,$50,$100,$250,$500,$1,000,$2,500,$5,000",13,1,30
1841780,Four Tanks and a Healer,http://www.kickstarter.com/projects/fourtanks/four-tanks-and-a-healer-0,Film & Video,Webseries,"Akron, OH",live,45000,2726,0.060577778,68,"Tue, 19 Jun 2012 11:58:30 -0000",9,"$1,$10,$20,$50,$100,$200,$500,$1,000,$5,000",8,5,60
1941303,c|Life's VERY FIRST WORSHIP ALBUM!,http://www.kickstarter.com/projects/clifecworship/c-lifes-very-first-worship-album,Music,Music,"Forney, TX",successful,7866,9011,1.145563183,34,"Wed, 06 Apr 2011 21:26:18 -0000",11,"$15,$25,$75,$100,$200,$350,$425,$500,$750,$1,000,$2,000",3,1,32.96
1968798,Dance Films Kino,http://www.kickstarter.com/projects/945643975/dance-films-kino,Dance,Dance,"Chicago, IL",successful,2500,2550,1.02,78,"Sun, 25 Mar 2012 21:00:00 -0000",25,"$5,$10,$10,$15,$20,$20,$20,$20,$25,$35,$35,$35,$35,$35,$45,$45,$50,$50,$50,$65,$100,$150,$250,$500,$1,250",17,3,30.94
2015616,Never Enough Hope; The Gravity of Our Commitment,http://www.kickstarter.com/projects/889628870/never-enough-hope-the-gravity-of-our-commitment,Music,Music,"Chicago, IL",successful,5000,5426,1.085128,109,"Fri, 01 Jun 2012 21:00:00 -0000",7,"$10,$25,$30,$45,$75,$150,$350",1,1,39.78
2046349,Awesome Kids Need You!!,http://www.kickstarter.com/projects/chocolatestarmusic/awesome-kids-need-you,Music,Music,"Dallas, TX",successful,500,955,1.91,29,"Tue, 26 Apr 2011 05:00:00 -0000",3,"$25,$50,$100",0,6,22.13
2085232,Time is of the Essence,http://www.kickstarter.com/projects/1133088074/time-is-of-the-essence,Publishing,Fiction,"South Bend, IN",failed,12000,50,0.004166667,2,"Fri, 25 May 2012 21:00:00 -0000",4,"$25,$100,$200,$1,000",2,0,20.77
2117470,&quot; Hugo's There &quot; - Real News. Unbelievably.,http://www.kickstarter.com/projects/masterminds/hugos-there-real-news-unbelievably,Film & Video,Webseries,"Oslo, Norway",failed,8400,25,0.00297619,1,"Mon, 05 Sep 2011 01:20:25 -0000",9,"$1,$5,$10,$25,$50,$100,$250,$500,$1,000",1,0,42
2140106,&quot;MISTRESS OF THE MOB CUISINE&quot; Comical Cookbook,http://www.kickstarter.com/projects/663307668/mistress-of-the-mob-cuisine-comical-cookbook,Publishing,Fiction,"Boston, MA",live,10000,1425,0.1425,38,"Fri, 06 Jul 2012 17:52:03 -0000",9,"$1,$10,$17,$30,$50,$100,$500,$1,000,$1,500",7,1,60
2170814,&quot;Braver. Stronger. Smarter.&quot; A New Cabaret,http://www.kickstarter.com/projects/238134214/braver-stronger-smarter-a-new-cabaret,Theater,Theater,"New York, NY",successful,1400,1610,1.15,50,"Thu, 13 Oct 2011 16:00:00 -0000",6,"$1,$5,$10,$25,$50,$100",0,3,31.95
2178442,Dinoboards wireless lcd,http://www.kickstarter.com/projects/672897402/dinoboards-wireless-lcd,Technology,Technology,"Denver, CO",failed,1000,311,0.311,7,"Thu, 08 Mar 2012 07:44:40 -0000",4,"$10,$50,$100,$500",0,0,60
2255081,New Music Venue / Cafe-Library / Store!,http://www.kickstarter.com/projects/1265966003/new-music-venue-cafe-library-store,Art,Performance Art,"Minneapolis, MN",successful,1600,4671,2.91936875,36,"Wed, 25 Apr 2012 17:24:16 -0000",11,"$3,$20,$25,$40,$80,$100,$150,$200,$350,$500,$1,000",2,0,30
2353033,&quot;Chased Resignation&quot;,http://www.kickstarter.com/projects/chasedresignation/chased-resignation,Film & Video,Film &amp; Video,"Arcadia, CA",failed,20000,0,0,0,"Tue, 26 Jul 2011 04:00:00 -0000",3,"$20,$100,$1,000",0,0,63.23
2363882,Art Works! Great art is in the wallet of the beholder...,http://www.kickstarter.com/projects/1000751152/art-works-great-art-is-in-the-wallet-of-the-behold,Film & Video,Film &amp; Video,"New York, NY",failed,3000,100,0.033333333,1,"Thu, 28 Jul 2011 03:11:00 -0000",8,"$10,$10,$25,$50,$100,$250,$500,$1,000",0,0,49.41
2442649,Dream with Me--A documentary about one year in America's Public Schools,http://www.kickstarter.com/projects/1800556280/dream-with-me-a-documentary-that-will-change-the,Film & Video,Documentary,,successful,5000,5615,1.123,90,"Fri, 16 Oct 2009 01:08:00 -0000",8,"$10,$25,$50,$100,$500,$1,000,$2,500,$5,000",6,7,30.89
2501251,Call of the Sea... CoastalRise Summer 2012,http://www.kickstarter.com/projects/coastalrise/call-of-the-sea-coastalrise-summer-2012,Music,Indie Rock,"Phoenixville, PA",live,8000,740,0.0925,11,"Fri, 13 Jul 2012 15:44:12 -0000",18,"$1,$1,$10,$25,$30,$50,$50,$75,$75,$100,$100,$200,$250,$300,$400,$500,$750,$1,500",0,0,60
2504670,AUDITION: One hundred actors. One love story.,http://www.kickstarter.com/projects/milesperhour/audition-one-hundred-actors-one-love-story-0,Film & Video,Narrative Film,"New York, NY",successful,1000,1017,1.017,26,"Fri, 30 Dec 2011 04:00:00 -0000",18,"$1,$5,$10,$20,$25,$30,$50,$75,$100,$150,$250,$500,$500,$1,000,$5,000,$7,500,$10,000,$10,000",10,1,60.04
2595797,Remnants: Finishing Phase,http://www.kickstarter.com/projects/1761956599/remnants-finishing-phase,Film & Video,Narrative Film,"Raleigh, NC",successful,8000,10544,1.318,131,"Mon, 30 May 2011 03:59:43 -0000",5,"$10,$25,$50,$200,$1,000",23,36,45
2623100,Point of Descent,http://www.kickstarter.com/projects/bmag-games/point-of-descent,Games,Video Games,"Somerville, MA",successful,2500,2595,1.038,21,"Sat, 25 Jun 2011 15:54:12 -0000",8,"$5,$10,$25,$25,$100,$100,$500,$500",6,3,91
2732493,Pocket Grill’¢_—_Î¢ - the World's Most Compactible Grill!,http://www.kickstarter.com/projects/192547389/pocket-grilltm-the-worlds-most-compactible-grill,Design,Product Design,"Philadelphia, PA",failed,40000,7004,0.1751,134,"Sat, 10 Sep 2011 03:59:00 -0000",6,"$1,$15,$40,$50,$100,$150",9,10,45.32
2771803,POSEY Starring Sally Kirkland,http://www.kickstarter.com/projects/1243602761/posey,Film & Video,Short Film,"Los Angeles, CA",live,5000,5926,1.1852,90,"Mon, 11 Jun 2012 19:12:00 -0000",6,"$10,$25,$50,$100,$500,$750",4,1,25.9
2838865,Rajin River CD project,http://www.kickstarter.com/projects/311644854/rajin-river-cd-project,Music,Rock,"Parkersburg, WV",live,1500,10,0.006666667,1,"Wed, 27 Jun 2012 16:25:09 -0000",6,"$10,$25,$50,$100,$250,$500",0,0,30
2991180,Color is My Middle Name,http://www.kickstarter.com/projects/kristinazallinger/color-is-my-middle-name,Art,Painting,"Hamden, CT",successful,997,1277,1.280842528,16,"Wed, 23 May 2012 21:59:39 -0000",5,"$1,$25,$50,$100,$500",0,1,30
2997946,Monster Climb - The Documentary,http://www.kickstarter.com/projects/860240596/monster-climb-the-documentary,Film & Video,Documentary,"Cocham’ÛÎ_, Chile",failed,10000,606,0.0606,10,"Sat, 10 Dec 2011 19:07:06 -0000",9,"$2,$5,$10,$25,$50,$100,$250,$500,$1,000",0,2,60.04
3040474,&quot;Black Roses&quot; Photo Book,http://www.kickstarter.com/projects/chuckjackson/black-roses-photo-book,Photography,Photography,"Orlando, FL",failed,3500,5,0.001428571,1,"Sun, 26 Jun 2011 13:54:45 -0000",11,"$1,$5,$10,$25,$50,$150,$250,$500,$1,000,$2,000,$5,000",0,0,60
3071888,The Invisible Line,http://www.kickstarter.com/projects/1999054937/the-invisible-line,Art,Conceptual Art,"Lower East Side, NY",successful,5500,5660,1.029090909,76,"Thu, 19 Apr 2012 19:14:17 -0000",9,"$1,$10,$40,$80,$100,$150,$250,$500,$1,000",5,1,30
3117557,The Beautiful Refrain's &quot;Page One&quot; Project,http://www.kickstarter.com/projects/2073316957/the-beautiful-refrains-page-one-single-project,Music,Rock,"Nashville, TN",successful,2300,2835,1.232608696,38,"Sun, 29 May 2011 01:00:00 -0000",11,"$5,$10,$20,$35,$50,$75,$100,$250,$500,$1,000,$2,000",1,1,26.09
3144961,"&quot;Snapshots&quot;, moments captured in song by Deborah J. Hamouris",http://www.kickstarter.com/projects/1804418552/snapshots-moments-captured-in-song-by-deborah-j-ha,Music,Jazz,"Oakland, CA",successful,8500,8637,1.016117647,116,"Sat, 17 Mar 2012 06:15:07 -0000",16,"$1,$10,$20,$30,$60,$75,$75,$100,$100,$125,$250,$500,$500,$1,000,$2,000,$2,500",20,10,59.96
3275371,Skateboard Evolution: Hi-Tech fun in time for Christmas!,http://www.kickstarter.com/projects/methodskateboards/skateboard-evolution-hi-tech-fun-in-time-for-chris,Design,Product Design,"Clovis, CA",failed,34000,1840,0.054117647,7,"Wed, 26 Oct 2011 22:53:56 -0000",5,"$1,$30,$140,$240,$280",3,0,30
3379046,MOBILE SPACE CAMP,http://www.kickstarter.com/projects/869863200/mobile-space-camp-0,Technology,Open Hardware,"Cape Canaveral, FL",live,198000,352,0.001777778,6,"Sun, 10 Jun 2012 22:27:21 -0000",7,"$25,$50,$100,$500,$1,000,$5,000,$10,000",0,0,30
3408584,Bluest Butter Larvae (for String Quartet),http://www.kickstarter.com/projects/subimage/bluest-butter-larvae-for-string-quartet,Music,Classical Music,"San Francisco, CA",successful,6000,6125,1.020833333,61,"Fri, 02 Jul 2010 14:00:00 -0000",11,"$1,$5,$15,$25,$50,$75,$100,$250,$1,000,$2,500,$5,000",18,4,45.28
3463218,INCANTATION a play by Gerene Freeman,http://www.kickstarter.com/projects/1884255073/incantation-a-play-by-gerene-freeman,Theater,Theater,"New Haven, CT",failed,8000,100,0.0125,2,"Mon, 12 Jul 2010 15:30:00 -0000",2,"$25,$50",0,0,89.56
3475775,&quot;Shower&quot; - a comedic short,http://www.kickstarter.com/projects/1372167546/shower-a-comedic-short,Film & Video,Short Film,"New York, NY",successful,1500,1660,1.106666667,22,"Fri, 09 Dec 2011 05:13:17 -0000",6,"$1,$20,$50,$100,$200,$500",2,0,30
3498252,"Join The C-List, Recieve Comics, Prints, and/or Original Artwork",http://www.kickstarter.com/projects/Clist/the-c-list,Comics,Comics,"Baltimore, MD",failed,3000,2082,0.694,17,"Mon, 30 Aug 2010 03:59:00 -0000",8,"$5,$7,$25,$60,$150,$250,$500,$1,000",3,3,51.13
3510369,The Philadelphia Project,http://www.kickstarter.com/projects/1840564509/the-philadelphia-project,Photography,Photography,"Philadelphia, PA",failed,10000,2575,0.2575,24,"Fri, 01 Jun 2012 00:00:00 -0000",8,"$10,$20,$50,$100,$150,$500,$1,000,$2,000",3,3,59.07
3529465,Furb On The Green VII,http://www.kickstarter.com/projects/698815816/furb-on-the-green-vii,Music,Rock,"San Rafael, CA",successful,650,651,1.001707692,11,"Thu, 31 May 2012 15:10:00 -0000",5,"$10,$35,$50,$75,$100",4,1,28.63
3568228,I Wanna Work For You: Alexa Weber Morales' 3rd album!,http://www.kickstarter.com/projects/work4u/i-wanna-work-for-you-alexa-weber-morales-3rd-album,Music,Music,"Oakland, CA",successful,6500,8540,1.313863077,85,"Tue, 03 May 2011 19:00:00 -0000",22,"$1,$5,$9,$9,$10,$15,$35,$50,$65,$75,$85,$100,$150,$175,$200,$300,$500,$500,$750,$1,000,$2,000,$3,000",19,18,57.74
3584870,Unlimited Wear Clothing,http://www.kickstarter.com/projects/621865472/unlimited-wear-clothing,Fashion,Fashion,"Azusa, CA",failed,2000,0,0,0,"Sun, 04 Dec 2011 13:17:00 -0000",3,"$1,$25,$100",0,0,25.87
3656699,"Time, Space and Bullets! board game",http://www.kickstarter.com/projects/TimPark/time-space-and-bullets-board-game,Games,Board & Card Games,"San Rafael, CA",failed,7500,0,0,0,"Mon, 01 Nov 2010 20:06:08 -0000",5,"$15,$25,$50,$100,$500",0,0,60
3688546,Kent Denim : The Next Great American Jean Line,http://www.kickstarter.com/projects/978242371/kent-denim-the-next-great-american-jean-line,Fashion,Fashion,"Los Angeles, CA",failed,18000,1227,0.068166667,16,"Fri, 24 Jun 2011 16:22:24 -0000",7,"$1,$5,$15,$30,$80,$160,$500",1,0,45
3702708,Titans of Industry Board Game,http://www.kickstarter.com/projects/gozergames/titans-of-industry-board-game,Games,Board & Card Games,"Chicago, IL",successful,30000,30388,1.012933333,244,"Mon, 21 May 2012 03:00:00 -0000",11,"$10,$25,$55,$80,$100,$150,$225,$250,$500,$2,000,$3,500",10,34,44.42
3777457,HAPPY AS A CLAM,http://www.kickstarter.com/projects/1114111720/happy-as-a-clam,Food,Food,"St Augustine, FL",failed,80000,0,0,0,"Tue, 07 Feb 2012 00:09:05 -0000",7,"$25,$50,$100,$500,$1,000,$5,000,$7,500",0,0,60
3786327,Pixoblok. Unique Wall Art,http://www.kickstarter.com/projects/buitragoart/pixoblok,Design,Product Design,"Miami, FL",failed,10000,1097,0.1097,12,"Mon, 28 Nov 2011 21:41:20 -0000",9,"$5,$25,$35,$180,$250,$300,$350,$450,$750",1,0,30.04
3797038,DEAR HARVEY (Stories of Harvey Milk)...Education Tribute to Harvey Milk with EQCA,http://www.kickstarter.com/projects/dearharvey/dear-harvey-stories-of-harvey-milkeducation-tribut,Theater,Theater,"West Hollywood, CA",failed,2500,150,0.06,3,"Thu, 23 Sep 2010 00:42:17 -0000",0,,0,0,40
3799926,OVNI   &lt; a community-powered retro indie game &gt;,http://www.kickstarter.com/projects/1529851995/ovni-a-community-powered-retro-indie-game,Games,Video Games,"Gainesville, FL",successful,555,673,1.21181982,31,"Mon, 09 May 2011 05:49:11 -0000",6,"$1,$3,$5,$10,$20,$50",13,3,15
3906809,"Queer&amp;Asian, a documentary film about the lives of LGBT Asians in the U.S.",http://www.kickstarter.com/projects/queerandasian/queerandasian-a-documentary-film-about-the-lives-o,Film & Video,Documentary,"New York, NY",failed,15000,1000,0.066666667,13,"Thu, 01 Jul 2010 03:59:00 -0000",8,"$10,$20,$50,$100,$250,$500,$1,000,$2,000",0,1,84
3981000,Tribal Edge Clothing.com - Tribal Tattoo T-Shirts,http://www.kickstarter.com/projects/1262731550/tribal-edge-clothingcom-tribal-tattoo-t-shirts,Fashion,Fashion,"Ewa Beach, HI",failed,5000,50,0.01,1,"Wed, 15 Dec 2010 16:38:52 -0000",4,"$50,$100,$250,$500",0,0,30
4006477,Imperial Clothes,http://www.kickstarter.com/projects/imperialcc/imperial-clothes,Fashion,Fashion,"Brooklyn, NY",failed,5000,0,0,0,"Wed, 01 Feb 2012 19:18:00 -0000",4,"$50,$100,$500,$1,000",2,0,59.97
4070527,TOMATOCLAM et al,http://www.kickstarter.com/projects/1795134881/tomatoclam-et-al,Food,Food,"Virginia Beach, VA",failed,100000,0,0,0,"Tue, 07 Feb 2012 21:42:28 -0000",2,"$50,$50",0,0,45
4072482,"Altering Landscapes: Vacuums, Leaf Blowers and Streams",http://www.kickstarter.com/projects/1668981363/altering-landscapes-vacuums-leaf-blowers-and-strea,Art,Conceptual Art,"San Francisco, CA",successful,1260,1260,1,12,"Thu, 29 Sep 2011 04:03:56 -0000",3,"$5,$25,$100",2,1,30
4092998,Ti2 Pen,http://www.kickstarter.com/projects/mikebond/ti2-pen,Design,Product Design,"Honolulu, HI",live,10000,31047,3.1047,426,"Mon, 18 Jun 2012 04:00:00 -0000",10,"$1,$50,$55,$65,$105,$115,$125,$125,$200,$460",5,47,26.32
4124807,Let's Pretend We're Bunny Rabbits,http://www.kickstarter.com/projects/421431307/lets-pretend-were-bunny-rabbits,Film & Video,Narrative Film,"Seattle, WA",successful,12000,12315,1.02625,170,"Mon, 11 Jul 2011 06:59:00 -0000",10,"$1,$5,$10,$25,$50,$100,$250,$500,$1,000,$2,500",6,6,41.54
4173934,Pour some sugar on us.,http://www.kickstarter.com/projects/1936435841/pour-some-sugar-on-us,Music,Rock,"Tucson, AZ",failed,2500,0,0,0,"Fri, 02 Dec 2011 06:34:31 -0000",3,"$5,$25,$100",0,0,60.04
4290744,Sturgis Rally Yearbook,http://www.kickstarter.com/projects/verberastudios/sturgis-rally-yearbook,Photography,Photography,"Los Angeles, CA",failed,10000,0,0,0,"Wed, 20 Jul 2011 07:00:00 -0000",9,"$5,$10,$20,$30,$40,$50,$100,$500,$5,000",0,0,71.92
4326268,Free RPG Day Pathfinder Adventure from Gaming Paper,http://www.kickstarter.com/projects/gamingpaper/free-rpg-day-pathfinder-adventure-from-gaming-pape,Games,Board & Card Games,"Grand Rapids, MI",successful,1000,2665,2.66466,120,"Mon, 16 Apr 2012 01:00:00 -0000",5,"$6,$15,$28,$34,$95",7,19,18.1
4459107,Season Finale of 5a,http://www.kickstarter.com/projects/qtpictures/season-finale-for-the-5a-series,Film & Video,Webseries,"New York, NY",successful,2500,2896,1.158404,24,"Wed, 02 Feb 2011 04:59:00 -0000",7,"$10,$25,$50,$100,$300,$500,$1,000",2,0,52.28
